Date,Region,Product,Channel,Revenue,Units,Cost,Profit,Ad Spend,Complaints,Returns
2024-11-28,West,Phone,Retail,5907,11,3905.89,2001.11,7389,23,2
2024-09-23,East,Phone,Online,70290,66,41729.47,28560.53,6582,24,10
2024-03-22,North,Laptop,Distributor,58064,76,33235.95,24828.05,5979,23,6
2024-09-15,North,Laptop,Retail,38828,34,25325.56,13502.44,3028,1,10
2024-03-04,West,Tablet,Distributor,47975,95,30509.42,17465.58,4868,25,9
2024-10-16,South,Tablet,Retail,43734,37,32163.59,11570.41,3293,22,6
2024-09-23,South,Laptop,Retail,73432,67,40957.92,32474.08,6919,14,1
2024-03-16,West,Headphones,Online,6756,12,4239.16,2516.84,3130,15,3
2024-08-16,North,Tablet,Distributor,62016,68,41952.08,20063.92,9502,24,6
2024-05-15,West,Headphones,Retail,129317,89,101429.27,27887.73,7830,26,2
2024-03-14,South,Headphones,Distributor,37288,59,29472.79,7815.21,9408,27,8
2024-03-01,South,Headphones,Retail,6320,5,3457.37,2862.63,7051,29,1
2024-11-04,West,Laptop,Online,52080,48,30564.56,21515.44,9565,4,1
2024-07-09,East,Tablet,Retail,37886,38,19260.99,18625.01,3340,4,9
2024-08-03,North,Tablet,Retail,19236,28,14345.01,4890.99,9008,0,1
2024-10-07,East,Laptop,Online,53568,54,35993.29,17574.71,8411,28,5
2024-07-12,West,Camera,Online,62818,98,40921.48,21896.52,8551,24,7
2024-12-07,West,Phone,Distributor,24822,42,18366.88,6455.12,7711,12,3
2024-07-21,East,Camera,Online,121346,86,76803.39,44542.61,5544,20,1
2024-03-25,North,Camera,Distributor,121176,99,71815.49,49360.51,3028,20,8
2024-02-13,South,Camera,Distributor,94350,74,48671.61,45678.39,9548,6,7
2024-09-14,North,Laptop,Distributor,47196,69,37224.1,9971.9,5504,25,3
2024-05-05,West,Laptop,Distributor,64584,78,40076.91,24507.09,1737,15,0
2024-06-23,West,Phone,Retail,5520,4,3634.21,1885.79,7258,8,1
2024-02-28,North,Camera,Online,23939,37,13281.37,10657.63,2468,4,4
2024-07-27,South,Laptop,Distributor,28770,42,14619.51,14150.49,1958,9,6
2024-02-20,East,Phone,Retail,32088,42,19658.84,12429.16,2981,1,3
2024-05-02,South,Headphones,Distributor,98552,97,60660.2,37891.8,2885,8,0
2024-06-11,West,Camera,Retail,8955,9,4555.16,4399.84,4829,29,0
2024-05-17,North,Phone,Distributor,109536,84,58894.37,50641.63,7664,14,1
2024-11-21,South,Phone,Retail,47040,70,34555.92,12484.08,9806,30,6
2024-10-11,West,Laptop,Online,89040,60,66674.18,22365.82,5739,20,2
2024-01-01,North,Headphones,Retail,58212,77,43766.48,14445.52,7228,11,10
2024-04-18,East,Laptop,Online,99370,95,66471.02,32898.98,5925,2,6
2024-12-23,North,Phone,Distributor,56592,72,43207.07,13384.93,4454,19,8
2024-06-11,East,Tablet,Distributor,45182,58,25924.46,19257.54,6269,10,3
2024-08-23,East,Laptop,Distributor,20898,18,16231.0,4667.0,8807,0,0
2024-12-10,South,Headphones,Distributor,109800,90,71006.89,38793.11,7435,17,1
2024-11-28,North,Camera,Online,82130,86,57628.47,24501.53,6783,26,6
2024-11-03,East,Headphones,Online,131769,99,93438.59,38330.41,1138,3,7
2024-07-08,South,Headphones,Online,36540,29,18486.85,18053.15,5606,21,5
2024-04-08,North,Camera,Distributor,51753,39,37021.14,14731.86,4838,15,5
2024-01-19,East,Headphones,Distributor,101920,91,57353.02,44566.98,4212,26,10
2024-07-21,North,Tablet,Distributor,65325,65,36003.42,29321.58,4174,21,9
2024-12-10,South,Laptop,Distributor,21471,17,11154.5,10316.5,5253,29,9
2024-04-26,East,Phone,Distributor,4479,3,3170.67,1308.33,9731,19,4
2024-12-14,West,Laptop,Retail,98687,83,77264.25,21422.75,1849,27,5
2024-08-09,West,Tablet,Online,90640,88,58007.43,32632.57,6922,16,0
2024-04-24,North,Tablet,Retail,66171,69,39363.31,26807.69,7420,6,5
2024-02-11,North,Phone,Distributor,81400,55,42517.83,38882.17,5095,6,2
2024-06-17,East,Laptop,Distributor,48519,81,24665.21,23853.79,8077,25,0
2024-10-30,East,Tablet,Online,13776,14,7873.09,5902.91,6583,26,0
2024-06-19,South,Laptop,Distributor,75920,80,55363.11,20556.89,8314,18,1
2024-02-13,North,Laptop,Retail,57851,41,43637.45,14213.55,2065,25,2
2024-02-01,West,Laptop,Retail,90139,79,56747.16,33391.84,2668,21,0
2024-10-13,North,Tablet,Retail,31096,52,21306.69,9789.31,7735,7,9
2024-12-03,North,Headphones,Retail,78840,60,49545.56,29294.44,2659,10,10
2024-12-11,North,Headphones,Distributor,47343,43,26405.29,20937.71,2682,0,9
2024-02-04,South,Camera,Online,83722,82,48298.04,35423.96,7897,15,9
2024-08-15,South,Phone,Online,3366,6,1811.93,1554.07,8140,16,10
2024-07-02,East,Camera,Distributor,64900,100,35320.05,29579.95,6057,19,5
2024-05-29,East,Laptop,Distributor,89148,76,62714.74,26433.26,1939,7,8
2024-10-13,North,Headphones,Retail,38974,26,21829.79,17144.21,4297,25,1
2024-06-23,South,Headphones,Distributor,87042,89,59182.35,27859.65,6425,27,9
2024-10-16,East,Camera,Retail,45144,54,24769.79,20374.21,8443,28,0
2024-09-10,South,Laptop,Distributor,35061,29,19952.59,15108.41,4492,7,7
2024-06-18,West,Phone,Retail,32280,24,25725.98,6554.02,6944,0,1
2024-07-02,North,Camera,Online,15143,19,9572.23,5570.77,6896,1,0
2024-04-11,South,Tablet,Online,40774,29,23591.82,17182.18,3855,10,8
2024-05-05,South,Phone,Online,31349,23,18136.54,13212.46,2657,0,10
2024-03-11,West,Laptop,Retail,21924,27,13962.54,7961.46,7056,25,5
2024-12-04,South,Camera,Distributor,78344,56,55881.42,22462.58,2941,4,2
2024-04-07,South,Camera,Retail,78587,89,46789.56,31797.44,8037,20,3
2024-01-24,South,Camera,Retail,16700,20,9588.33,7111.67,5588,27,2
2024-09-17,West,Phone,Distributor,14333,11,9190.32,5142.68,2062,5,8
2024-07-17,East,Headphones,Distributor,40980,60,24446.49,16533.51,7125,16,7
2024-09-10,West,Tablet,Distributor,59956,52,46547.17,13408.83,1599,6,3
2024-04-13,West,Phone,Retail,22764,28,14284.57,8479.43,7178,18,2
2024-07-10,East,Camera,Online,22842,18,11996.81,10845.19,8282,16,5
2024-04-27,North,Headphones,Distributor,67520,80,42391.13,25128.87,8660,13,6
2024-07-07,West,Tablet,Retail,25725,49,14248.3,11476.7,4830,8,10
2024-02-08,East,Laptop,Retail,66625,65,44238.7,22386.3,2280,25,4
2024-04-26,North,Laptop,Online,25333,47,16816.24,8516.76,6468,6,10
2024-06-17,East,Tablet,Distributor,118701,99,89457.17,29243.83,4123,22,9
2024-03-11,East,Laptop,Retail,49654,37,29990.5,19663.5,7616,30,6
2024-10-23,North,Headphones,Distributor,84414,66,66302.69,18111.31,7512,7,3
2024-04-17,West,Phone,Distributor,99104,76,65981.91,33122.09,8679,23,7
2024-06-23,North,Tablet,Online,70840,55,55437.89,15402.11,7843,6,7
2024-08-18,North,Tablet,Online,103156,74,55549.89,47606.11,1158,15,10
2024-06-30,East,Phone,Retail,66110,55,47981.84,18128.16,9808,9,5
2024-10-27,North,Camera,Online,11826,18,9380.06,2445.94,6410,18,10
2024-11-04,West,Headphones,Online,28815,51,19027.9,9787.1,4085,15,1
2024-06-17,West,Tablet,Online,13332,22,9365.27,3966.73,3910,1,9
2024-09-07,North,Phone,Online,12897,9,10174.42,2722.58,5650,6,3
2024-05-29,North,Headphones,Online,49440,48,24883.85,24556.15,6353,27,6
2024-07-19,South,Laptop,Online,64032,69,41203.01,22828.99,2126,12,3
2024-03-07,South,Tablet,Retail,107380,91,68984.56,38395.44,6084,18,3
2024-09-14,West,Tablet,Online,646,1,409.38,236.62,7541,19,3
2024-09-26,East,Camera,Retail,57407,59,38625.72,18781.28,2492,9,10
2024-08-21,East,Tablet,Retail,106097,79,78829.59,27267.41,3869,13,3
2024-04-01,West,Headphones,Retail,58395,85,41434.56,16960.44,2565,12,0
2024-05-02,South,Tablet,Distributor,55062,69,38543.24,16518.76,2093,22,3
2024-09-09,West,Camera,Online,27744,48,20159.32,7584.68,9264,24,5
2024-07-28,West,Phone,Retail,27486,27,14111.05,13374.95,1437,2,10
2024-12-21,West,Headphones,Retail,87168,96,65962.81,21205.19,7499,1,0
2024-05-08,North,Phone,Retail,108876,86,69601.56,39274.44,8558,2,1
2024-10-07,South,Headphones,Online,81740,61,47715.12,34024.88,3643,5,0
2024-11-06,North,Phone,Retail,16752,16,12102.21,4649.79,3759,2,10
2024-01-06,East,Phone,Retail,31372,46,17725.23,13646.77,1564,28,10
2024-09-29,South,Headphones,Distributor,9492,7,6553.63,2938.37,9566,20,10
2024-12-03,North,Headphones,Distributor,38160,40,19680.05,18479.95,1076,1,6
2024-04-13,South,Tablet,Online,15418,26,7783.18,7634.82,1457,0,5
2024-04-08,North,Phone,Online,57706,86,41386.94,16319.06,1721,13,8
2024-02-25,East,Tablet,Distributor,56214,81,38641.62,17572.38,9875,12,6
2024-03-02,South,Phone,Online,38226,46,21104.06,17121.94,7588,20,5
2024-01-07,West,Phone,Retail,16443,29,11467.16,4975.84,5562,20,9
2024-07-07,North,Laptop,Online,42824,53,31272.81,11551.19,9185,3,8
2024-10-18,South,Tablet,Online,64064,77,50894.03,13169.97,7366,21,2
2024-06-19,South,Tablet,Distributor,35278,62,21185.55,14092.45,8354,12,8
2024-11-23,South,Camera,Distributor,46683,91,26599.12,20083.88,3032,9,3
2024-08-07,South,Camera,Online,5120,8,3135.27,1984.73,5859,6,2
2024-07-11,South,Laptop,Online,103416,93,82377.61,21038.39,8270,23,5
2024-03-09,East,Tablet,Distributor,52920,98,34729.38,18190.62,7797,20,4
2024-01-13,South,Tablet,Retail,22720,32,15035.95,7684.05,5068,25,10
2024-12-22,South,Camera,Retail,55543,67,30829.9,24713.1,1099,2,7
2024-02-05,South,Laptop,Distributor,27740,19,15569.52,12170.48,2503,5,9
2024-10-08,South,Phone,Distributor,10296,11,7387.35,2908.65,6103,5,3
2024-05-05,West,Phone,Distributor,25920,32,15178.9,10741.1,8344,30,10
2024-04-13,East,Headphones,Online,42629,47,26145.02,16483.98,8712,14,6
2024-09-15,West,Phone,Retail,3840,3,2359.4,1480.6,2363,24,4
2024-10-31,South,Camera,Distributor,17549,23,10777.46,6771.54,6011,14,4
2024-07-11,West,Laptop,Retail,22176,18,14209.88,7966.12,3535,29,3
2024-01-03,North,Camera,Distributor,82119,93,53166.81,28952.19,7812,30,6
2024-07-10,West,Headphones,Retail,91466,83,47687.66,43778.34,1636,29,1
2024-07-16,South,Phone,Retail,42537,33,32920.48,9616.52,6711,16,7
2024-11-21,East,Laptop,Distributor,72400,50,45410.16,26989.84,5043,7,7
2024-01-18,East,Laptop,Distributor,99760,86,54305.88,45454.12,8462,30,10
2024-03-16,East,Phone,Distributor,110550,75,77250.28,33299.72,3644,0,1
2024-02-17,West,Headphones,Distributor,113772,76,87638.42,26133.58,9495,29,3
2024-08-04,South,Headphones,Retail,72001,89,46814.62,25186.38,9735,21,6
2024-10-27,East,Headphones,Distributor,7332,12,5065.34,2266.66,6642,26,2
2024-05-17,South,Headphones,Distributor,20240,40,16113.22,4126.78,9056,0,1
2024-02-05,West,Camera,Retail,66780,84,48075.77,18704.23,3795,5,5
2024-04-05,South,Phone,Retail,24336,24,19092.69,5243.31,8383,18,3
2024-04-05,South,Laptop,Distributor,31872,24,23194.83,8677.17,5249,28,6
2024-08-13,North,Phone,Online,22306,38,13680.68,8625.32,5534,2,5
2024-01-16,South,Headphones,Retail,111186,87,58955.57,52230.43,2000,8,0
2024-12-06,North,Laptop,Online,87770,67,44076.21,43693.79,9520,30,4
2024-09-05,West,Tablet,Distributor,46420,55,28373.55,18046.45,6620,10,3
2024-07-03,West,Headphones,Distributor,11984,8,7272.0,4712.0,6410,25,1
2024-01-02,West,Headphones,Distributor,9468,18,6443.66,3024.34,9693,8,3
2024-07-07,West,Camera,Distributor,118150,85,75918.44,42231.56,7768,21,3
2024-01-02,East,Laptop,Distributor,65518,47,33658.32,31859.68,6333,21,7
2024-04-29,West,Headphones,Distributor,103727,79,54395.56,49331.44,8010,30,7
2024-12-03,North,Headphones,Retail,54522,78,38905.95,15616.05,9520,28,9
2024-09-15,North,Phone,Retail,9696,12,7269.15,2426.85,9990,27,7
2024-03-27,West,Laptop,Retail,89505,85,51221.07,38283.93,4467,5,10
2024-12-24,North,Laptop,Retail,48668,92,26673.5,21994.5,6349,28,6
2024-05-23,South,Tablet,Distributor,89914,61,69166.64,20747.36,3016,21,2
2024-09-30,West,Laptop,Distributor,59856,43,33946.84,25909.16,2059,20,5
2024-07-12,West,Camera,Retail,21840,30,12617.58,9222.42,5767,2,1
2024-02-15,East,Camera,Online,140544,96,75167.41,65376.59,7025,4,5
2024-07-13,North,Tablet,Online,79648,76,44360.54,35287.46,7359,13,5
2024-07-05,South,Camera,Distributor,86112,78,48794.72,37317.28,7476,0,8
2024-08-23,East,Phone,Retail,29319,29,20640.41,8678.59,3415,19,4
2024-03-15,North,Camera,Retail,40560,40,32330.4,8229.6,3022,8,9
2024-09-01,South,Headphones,Retail,135499,91,83062.59,52436.41,6458,4,3
2024-04-25,North,Phone,Retail,84694,94,49946.64,34747.36,3608,0,8
2024-07-19,East,Headphones,Distributor,52216,61,37977.44,14238.56,7407,2,8
2024-05-24,East,Phone,Distributor,64113,71,33928.33,30184.67,6298,24,9
2024-01-28,East,Headphones,Distributor,22911,21,12401.0,10510.0,8904,9,2
2024-04-17,South,Phone,Distributor,42756,84,26024.2,16731.8,2670,21,2
2024-07-11,West,Phone,Online,11232,13,8898.53,2333.47,3943,30,0
2024-03-01,East,Camera,Retail,22840,20,16370.92,6469.08,5014,1,1
2024-05-03,West,Headphones,Retail,98790,89,77685.16,21104.84,7150,24,10
2024-12-03,North,Headphones,Distributor,38269,49,26394.13,11874.87,8292,11,0
2024-03-02,North,Laptop,Online,72828,63,51026.04,21801.96,9351,7,0
2024-10-27,West,Tablet,Distributor,57216,96,42242.75,14973.25,3967,12,7
2024-11-26,West,Tablet,Distributor,10217,17,6105.36,4111.64,9806,5,6
2024-12-24,North,Headphones,Distributor,89838,69,66808.83,23029.17,9004,2,8
2024-10-26,North,Phone,Distributor,10960,16,8314.27,2645.73,3948,0,8
2024-08-16,East,Laptop,Online,18496,17,10392.33,8103.67,3641,2,8
2024-05-11,North,Laptop,Online,52325,65,31869.48,20455.52,9919,5,6
2024-12-02,North,Phone,Retail,8808,6,6903.17,1904.83,5807,21,8
2024-08-15,South,Camera,Retail,72980,89,47933.26,25046.74,6769,19,8
2024-09-18,South,Laptop,Distributor,4452,6,2275.06,2176.94,3321,9,3
2024-03-09,South,Camera,Retail,22716,36,16326.7,6389.3,7914,2,8
2024-05-10,East,Headphones,Distributor,19089,21,12156.26,6932.74,5164,21,6
2024-12-21,South,Camera,Online,11440,10,8234.54,3205.46,4156,22,5
2024-10-15,South,Headphones,Online,53546,41,33738.7,19807.3,1424,30,9
2024-05-06,North,Tablet,Online,42228,69,29778.92,12449.08,7664,2,5
2024-11-23,North,Tablet,Retail,77900,100,42369.72,35530.28,4698,8,0
2024-02-20,West,Phone,Retail,18214,14,14164.86,4049.14,3879,16,4
2024-10-28,West,Laptop,Distributor,54765,45,36782.77,17982.23,5620,17,4
2024-11-07,North,Laptop,Online,60229,41,43699.87,16529.13,3960,11,10
2024-09-29,West,Headphones,Distributor,13005,17,6539.55,6465.45,9414,22,2
2024-12-02,South,Phone,Retail,91469,73,53071.32,38397.68,7064,22,3
2024-12-13,West,Headphones,Online,49134,57,36336.59,12797.41,9228,9,4
2024-08-07,South,Tablet,Distributor,17640,12,10437.56,7202.44,6123,27,1
2024-11-20,North,Laptop,Distributor,45477,31,24015.95,21461.05,1940,2,4
2024-10-10,West,Laptop,Retail,88740,87,69193.46,19546.54,3235,15,7
2024-09-20,North,Headphones,Online,54826,79,42395.08,12430.92,1119,22,6
2024-12-25,East,Phone,Distributor,125205,85,97176.32,28028.68,9652,21,9
2024-01-22,West,Phone,Distributor,101528,98,78292.26,23235.74,3864,2,5
2024-03-09,East,Laptop,Retail,56832,64,31322.68,25509.32,2855,10,10
2024-05-07,North,Tablet,Retail,49600,62,28739.49,20860.51,1036,23,10
2024-10-18,West,Phone,Retail,85241,83,63736.25,21504.75,1580,29,7
2024-11-12,West,Laptop,Retail,1130,1,721.06,408.94,5888,11,1
2024-01-03,East,Phone,Retail,23414,46,12418.82,10995.18,9061,6,1
2024-09-27,South,Headphones,Online,31941,63,17461.8,14479.2,5098,7,7
2024-07-21,East,Tablet,Retail,77715,55,43104.98,34610.02,5415,3,7
2024-12-02,West,Phone,Online,58190,46,36670.64,21519.36,6885,28,3
2024-02-26,South,Tablet,Online,16272,18,10191.43,6080.57,6426,28,0
2024-03-23,South,Headphones,Distributor,21735,35,13613.25,8121.75,9119,25,10
2024-03-06,East,Headphones,Distributor,134385,93,97102.3,37282.7,7370,4,1
2024-02-25,North,Phone,Online,45540,45,22956.47,22583.53,4874,1,10
2024-06-24,West,Camera,Distributor,1888,2,1215.98,672.02,5623,15,1
2024-08-07,South,Camera,Online,96162,94,53471.66,42690.34,5606,24,1
2024-05-14,South,Headphones,Online,74603,61,54819.41,19783.59,2688,22,8
2024-11-08,South,Phone,Distributor,93069,81,50687.04,42381.96,2973,4,6
2024-01-20,East,Phone,Online,28490,55,19513.95,8976.05,2489,27,0
2024-07-13,West,Camera,Retail,103320,90,82039.93,21280.07,4633,10,6
2024-09-02,North,Camera,Retail,45816,83,27090.41,18725.59,5411,11,4
2024-06-28,West,Phone,Retail,4802,7,2459.9,2342.1,1854,21,5
2024-04-18,East,Headphones,Retail,47034,78,29597.19,17436.81,5133,30,7
2024-07-05,East,Tablet,Online,15405,13,7765.64,7639.36,3134,10,5
2024-07-04,East,Phone,Distributor,25740,36,17382.17,8357.83,2429,28,1
2024-03-07,North,Laptop,Distributor,112308,84,62570.17,49737.83,8303,29,1
2024-02-08,East,Tablet,Distributor,78019,61,43737.43,34281.57,3517,1,2
2024-04-08,West,Camera,Distributor,46596,33,35558.46,11037.54,6690,28,5
2024-08-17,North,Headphones,Online,57598,62,37849.31,19748.69,9255,25,0
2024-03-26,East,Phone,Retail,8868,6,5940.25,2927.75,4116,23,6
2024-09-10,North,Phone,Retail,99037,97,60932.03,38104.97,7393,12,9
2024-05-19,South,Phone,Online,22785,21,12881.32,9903.68,1145,28,8
2024-08-21,East,Tablet,Online,46550,38,27024.81,19525.19,2951,5,3
2024-01-24,South,Tablet,Online,53382,82,41777.49,11604.51,5550,29,2
2024-05-18,North,Phone,Online,42642,69,21338.91,21303.09,6692,20,9
2024-07-07,East,Laptop,Distributor,54670,71,39177.83,15492.17,7690,28,9
2024-05-30,East,Laptop,Distributor,2686,2,1629.45,1056.55,5582,5,4
2024-01-09,North,Headphones,Distributor,45870,33,31552.55,14317.45,4377,26,7
2024-04-22,East,Tablet,Online,85800,75,63691.05,22108.95,7479,4,7
2024-04-28,West,Tablet,Online,36890,62,23933.8,12956.2,8526,5,2
2024-04-06,West,Phone,Distributor,19277,37,11432.19,7844.81,3911,26,6
2024-12-17,South,Laptop,Online,9360,10,5368.67,3991.33,7594,3,8
2024-03-11,North,Camera,Online,43757,49,22150.44,21606.56,1222,24,10
2024-01-23,South,Phone,Online,22610,35,17671.51,4938.49,1221,25,0
2024-02-24,East,Laptop,Online,17838,18,12984.31,4853.69,8279,26,2
2024-06-06,East,Headphones,Online,17824,32,11818.34,6005.66,5382,20,8
2024-03-04,North,Laptop,Online,56210,70,29834.57,26375.43,7804,4,0
2024-04-24,North,Phone,Retail,32500,50,19694.77,12805.23,5699,7,10
2024-07-15,North,Headphones,Online,10935,15,5801.25,5133.75,5617,11,1
2024-11-11,East,Laptop,Retail,15587,11,7996.19,7590.81,3475,5,6
2024-09-28,East,Camera,Online,81345,87,44338.39,37006.61,5940,19,4
2024-06-27,North,Tablet,Retail,74545,85,58135.0,16410.0,2251,25,0
2024-03-17,South,Tablet,Online,47850,50,34279.89,13570.11,8838,26,1
2024-02-27,West,Tablet,Online,9960,12,7952.38,2007.62,3979,24,6
2024-06-29,East,Headphones,Retail,75020,62,59404.94,15615.06,6463,4,10
2024-05-05,West,Headphones,Distributor,67264,64,44403.06,22860.94,9724,17,3
2024-07-15,North,Camera,Distributor,56106,54,37779.7,18326.3,4593,22,1
2024-04-30,East,Laptop,Online,2613,3,1744.21,868.79,3188,29,1
2024-01-31,East,Tablet,Online,36898,38,20044.55,16853.45,7898,7,3
2024-04-24,North,Phone,Online,109800,90,59612.94,50187.06,1431,22,6
2024-07-09,North,Laptop,Distributor,43125,75,27731.44,15393.56,3591,0,2
2024-07-06,South,Laptop,Online,5120,10,3434.27,1685.73,7823,4,2
2024-08-28,South,Camera,Distributor,38259,39,23852.83,14406.17,6526,14,10
2024-12-21,North,Tablet,Online,11220,20,8575.97,2644.03,1526,19,2
2024-09-14,South,Laptop,Retail,65780,55,51602.61,14177.39,8443,17,4
2024-10-19,East,Phone,Retail,16338,21,12938.66,3399.34,9544,12,2
2024-04-18,West,Camera,Online,26129,29,14504.42,11624.58,2264,26,7
2024-09-01,East,Headphones,Retail,12210,22,9047.63,3162.37,7950,6,4
2024-02-25,North,Laptop,Retail,101166,78,76277.42,24888.58,1459,7,4
2024-03-24,North,Laptop,Online,39347,77,28603.55,10743.45,6064,6,8
2024-04-13,North,Phone,Retail,16500,11,11072.11,5427.89,1735,18,7
2024-01-24,North,Tablet,Online,20320,40,16137.38,4182.62,5626,30,6
2024-09-13,South,Tablet,Retail,80352,93,63651.26,16700.74,2595,10,6
2024-09-14,North,Camera,Online,4404,4,3253.77,1150.23,8814,18,0
2024-05-28,South,Phone,Distributor,34800,60,26641.53,8158.47,2528,30,3
2024-04-20,South,Phone,Distributor,83482,67,56986.62,26495.38,9573,29,5
2024-08-17,South,Tablet,Retail,53486,47,40477.44,13008.56,8059,1,10
2024-07-17,South,Phone,Distributor,44928,78,35376.52,9551.48,9151,3,0
2024-03-14,East,Camera,Online,38144,64,24276.46,13867.54,3780,29,4
2024-03-23,North,Tablet,Distributor,40467,47,21316.75,19150.25,3935,22,7
2024-05-12,West,Tablet,Retail,121464,84,65849.79,55614.21,3031,18,7
2024-01-21,East,Tablet,Retail,72981,53,50058.04,22922.96,3113,14,5
2024-09-19,East,Tablet,Online,81224,88,52940.4,28283.6,5306,28,10
2024-01-22,North,Phone,Distributor,36576,72,19983.98,16592.02,2725,9,6
2024-03-22,West,Laptop,Online,69750,50,44548.18,25201.82,2531,11,7
2024-08-27,West,Laptop,Online,29976,24,15962.35,14013.65,7503,24,6
2024-04-12,West,Tablet,Online,34850,41,27842.76,7007.24,8967,6,7
2024-02-28,East,Headphones,Online,46130,70,36191.76,9938.24,3384,20,3
2024-06-12,North,Camera,Retail,11664,8,8661.22,3002.78,8046,15,3
2024-01-28,South,Laptop,Distributor,42680,55,24567.52,18112.48,3885,2,2
2024-02-05,East,Headphones,Online,54366,39,38798.95,15567.05,7876,16,3
2024-12-08,East,Phone,Online,16992,12,13092.21,3899.79,6603,30,4
2024-03-25,South,Tablet,Retail,61132,62,40386.97,20745.03,3632,30,6
2024-06-30,West,Laptop,Distributor,54131,77,28329.06,25801.94,3369,10,10
2024-06-11,North,Phone,Retail,19209,19,14585.21,4623.79,2861,25,10
2024-07-27,East,Camera,Distributor,961,1,752.46,208.54,3059,20,7
2024-11-23,North,Laptop,Online,66432,96,41589.94,24842.06,9947,24,2
2024-11-03,West,Phone,Retail,39825,27,22196.37,17628.63,1235,11,5
2024-01-09,East,Tablet,Distributor,19456,16,12641.33,6814.67,8471,13,6
2024-06-29,East,Camera,Retail,100299,67,73170.56,27128.44,2857,29,2
2024-08-22,West,Tablet,Online,78739,71,43211.74,35527.26,8141,12,4
2024-12-03,West,Tablet,Distributor,116800,80,90816.75,25983.25,2625,2,1
2024-02-15,North,Camera,Retail,14112,14,10230.96,3881.04,9924,3,10
2024-08-15,North,Tablet,Retail,20384,28,14942.78,5441.22,7243,3,3
2024-08-28,North,Tablet,Retail,75737,53,56509.3,19227.7,7484,0,5
2024-04-24,East,Tablet,Distributor,27676,34,20799.77,6876.23,7794,21,3
2024-01-03,West,Laptop,Online,2628,4,1937.24,690.76,9502,26,9
2024-06-11,East,Phone,Distributor,41832,56,27890.31,13941.69,7412,6,9
2024-11-25,West,Laptop,Distributor,34705,55,27132.98,7572.02,7396,23,2
2024-07-25,East,Camera,Online,41216,56,21839.26,19376.74,3069,16,1
2024-11-19,West,Tablet,Distributor,30891,21,18433.32,12457.68,2527,2,0
2024-08-11,North,Camera,Online,4528,4,3225.17,1302.83,2290,18,6
2024-01-13,South,Headphones,Distributor,104976,81,63766.24,41209.76,4927,20,3
2024-06-01,South,Camera,Online,120714,93,89585.39,31128.61,7194,24,4
2024-12-03,North,Tablet,Online,21698,19,10999.63,10698.37,2694,3,7
2024-11-01,North,Laptop,Online,28416,37,21834.33,6581.67,2520,2,7
2024-07-04,South,Headphones,Online,82782,63,41936.29,40845.71,2205,15,10
2024-02-09,South,Headphones,Retail,47068,41,36359.59,10708.41,3639,5,4
2024-01-06,South,Camera,Distributor,107250,78,54636.92,52613.08,6616,11,7
2024-11-10,North,Phone,Distributor,72200,95,56169.79,16030.21,4159,19,0
2024-10-01,North,Camera,Distributor,64288,98,36315.77,27972.23,6978,3,3
2024-01-16,East,Phone,Online,13695,11,9688.95,4006.05,3073,8,4
2024-09-03,South,Laptop,Retail,96824,91,67348.58,29475.42,8652,23,7
2024-08-11,West,Phone,Retail,16146,23,11400.97,4745.03,5605,30,6
2024-02-22,East,Phone,Online,92907,93,58535.27,34371.73,8309,13,9
2024-05-19,East,Camera,Online,69576,78,43748.96,25827.04,6782,11,10
2024-02-02,West,Phone,Online,50094,66,33866.59,16227.41,5808,19,10
2024-09-28,East,Headphones,Online,10260,15,7620.23,2639.77,8035,25,2
2024-07-02,South,Laptop,Online,74800,85,45746.88,29053.12,6151,3,0
2024-06-12,North,Tablet,Online,64860,60,47903.77,16956.23,4811,17,1
2024-07-16,East,Camera,Online,49096,68,26063.89,23032.11,5555,22,9
2024-12-09,North,Camera,Distributor,64692,54,47022.05,17669.95,6206,26,5
2024-04-11,South,Laptop,Retail,35008,64,27904.1,7103.9,7901,3,1
2024-08-19,South,Camera,Retail,67792,76,38704.25,29087.75,1348,9,0
2024-11-25,North,Headphones,Retail,23137,17,18279.53,4857.47,1606,28,8
2024-09-27,North,Tablet,Distributor,1713,3,1097.98,615.02,7800,23,4
2024-05-20,East,Tablet,Retail,11759,11,8612.1,3146.9,9090,19,0
2024-07-20,East,Headphones,Retail,123670,83,95614.42,28055.58,7126,30,9
2024-02-22,North,Phone,Online,1284,2,682.5,601.5,6289,27,6
2024-04-25,South,Laptop,Online,132339,93,98418.48,33920.52,9807,0,0
2024-05-12,North,Laptop,Online,22464,39,13009.31,9454.69,7218,8,2
2024-03-11,West,Laptop,Online,56662,41,30846.82,25815.18,7771,20,7
2024-12-08,North,Camera,Distributor,33821,31,21759.69,12061.31,9029,8,5
2024-09-04,South,Laptop,Retail,79497,99,56714.31,22782.69,6783,17,3
2024-12-03,South,Laptop,Online,35904,64,20240.62,15663.38,4541,14,6
2024-04-06,West,Laptop,Retail,35991,27,24371.56,11619.44,9644,16,5
2024-06-08,West,Phone,Distributor,20104,14,10836.42,9267.58,6957,12,7
2024-11-13,South,Headphones,Online,7056,9,4423.61,2632.39,6032,30,9
2024-11-27,North,Phone,Retail,17668,14,9418.1,8249.9,1271,28,7
2024-04-05,East,Laptop,Retail,88655,85,56366.16,32288.84,5351,3,8
